"","id","run","prime","target","rt_raw","rt_log"
"142",7,6,"Black","tool",547.2,6.28919239242092
"143",7,6,"White","gun",561.947368421053,6.31031075484163
"144",7,6,"White","tool",548.6,6.29325941019933
"145",8,1,"Black","gun",546.1,6.29469973411063
"146",8,1,"Black","tool",611.55,6.40120736190354
"147",8,1,"White","gun",573.105263157895,6.32131809778502
"148",8,1,"White","tool",614.1,6.4072398065113
"149",8,2,"Black","gun",574.75,6.34495707067214
"150",8,2,"Black","tool",595.21052631579,6.37813249882531
"151",8,2,"White","gun",562.95,6.31566022316435
"152",8,2,"White","tool",621,6.40905446914894
"153",8,3,"Black","gun",608.1,6.37423278432342
"154",8,3,"Black","tool",613.7,6.40670820087316
"155",8,3,"White","gun",640.157894736842,6.43908450111106
"156",8,3,"White","tool",733.578947368421,6.56846512239338
"157",8,4,"Black","gun",551.368421052632,6.29898231232327
"158",8,4,"Black","tool",642.684210526316,6.44734351317002
"159",8,4,"White","gun",540.95,6.27678810434538
"160",8,4,"White","tool",606.315789473684,6.38497930996893
"161",8,5,"Black","gun",510.555555555556,6.22989134669591
"162",8,5,"Black","tool",648.176470588235,6.45913514141004
"163",8,5,"White","gun",520.15,6.24502957890001
"164",8,5,"White","tool",630.7,6.43469814098377
"165",8,6,"Black","gun",513.2,6.23342512413051
"166",8,6,"Black","tool",590.157894736842,6.36065122187307
"167",8,6,"White","gun",518.157894736842,6.23108754860594
"168",8,6,"White","tool",553.263157894737,6.30874766961141
"169",9,1,"Black","gun",621.65,6.40694689898989
"170",9,1,"Black","tool",653.1,6.45915495192841
"171",9,1,"White","gun",638.823529411765,6.41988718895004
"172",9,1,"White","tool",661.777777777778,6.47203375035699
"173",9,2,"Black","gun",641.0625,6.4365915172754
"174",9,2,"Black","tool",751.368421052632,6.57090837986498
"175",9,2,"White","gun",672.222222222222,6.48763540345784
"176",9,2,"White","tool",682.611111111111,6.48978656417617
"177",9,3,"Black","gun",610.105263157895,6.38967113892346
"178",9,3,"Black","tool",672.4375,6.47203860580241
"179",9,3,"White","gun",701.631578947368,6.52378617578395
"180",9,3,"White","tool",631.736842105263,6.43750984739693
"181",9,4,"Black","gun",610.3,6.36956425343325
"182",9,4,"Black","tool",648.052631578947,6.44930583721368
"183",9,4,"White","gun",557.55,6.30657870976531
"184",9,4,"White","tool",713.315789473684,6.53844575877728
"185",9,5,"Black","gun",673.25,6.46708687709441
"186",9,5,"Black","tool",687.5,6.50154977546353
"187",9,5,"White","gun",738.526315789474,6.56245505359753
"188",9,5,"White","tool",683.222222222222,6.48476089643741
"189",9,6,"Black","gun",728.21052631579,6.53739826793202
"190",9,6,"Black","tool",737.3125,6.55212475013661
"191",9,6,"White","gun",705.578947368421,6.52890585880367
"192",9,6,"White","tool",722.214285714286,6.53566812427532
"193",10,1,"Black","gun",547.6,6.29930818107248
"194",10,1,"Black","tool",577.75,6.34946289316241
"195",10,1,"White","gun",511.9,6.23099855670749
"196",10,1,"White","tool",586.95,6.36663294657661
"197",10,2,"Black","gun",482.263157894737,6.16980050748393
"198",10,2,"Black","tool",507,6.22152485860945
"199",10,2,"White","gun",461.111111111111,6.12091140941687
"200",10,2,"White","tool",518.052631578947,6.24108270489574
"201",10,3,"Black","gun",457.684210526316,6.11291553598275
"202",10,3,"Black","tool",489.65,6.18669733770662
"203",10,3,"White","gun",436.947368421053,6.07199900429183
"204",10,3,"White","tool",472.85,6.15087735994485
"205",10,4,"Black","gun",452.375,6.10629730680669
"206",10,4,"Black","tool",472.2,6.14900462942034
"207",10,4,"White","gun",460.1,6.12317065638341
"208",10,4,"White","tool",482.6,6.17206672542262
"209",10,5,"Black","gun",398.526315789474,5.97842594740059
"210",10,5,"Black","tool",469.315789473684,6.14782358998724
"211",10,5,"White","gun",410.684210526316,6.01229878093839
"212",10,5,"White","tool",454.888888888889,6.1136089016144
"213",10,6,"Black","gun",398.277777777778,5.98111308528506
"214",10,6,"Black","tool",458.7,6.11940556241792
"215",10,6,"White","gun",383.95,5.94204171163958
"216",10,6,"White","tool",440.55,6.0782753719976
"217",11,1,"Black","gun",421.368421052632,6.03566739696346
"218",11,1,"Black","tool",518.3,6.24238978135596
"219",11,1,"White","gun",417.8,6.02791526617107
"220",11,1,"White","tool",467,6.14097348091953
"221",11,2,"Black","gun",429.75,6.05513831649457
"222",11,2,"Black","tool",468.3,6.14043415045102
"223",11,2,"White","gun",457.3,6.10730627269915
"224",11,2,"White","tool",470.2,6.1474663756167
"225",11,3,"Black","gun",469.9,6.1410768170285
"226",11,3,"Black","tool",482.722222222222,6.1660827099772
"227",11,3,"White","gun",450.35,6.10131693251977
"228",11,3,"White","tool",464.95,6.13434726521286
"229",11,4,"Black","gun",436.65,6.07158160174981
"230",11,4,"Black","tool",508.9,6.21750751737979
"231",11,4,"White","gun",458.05,6.12015506838232
"232",11,4,"White","tool",457.8,6.11767618298142
"233",11,5,"Black","gun",452.722222222222,6.10150639872496
"234",11,5,"Black","tool",488.736842105263,6.17349058709457
"235",11,5,"White","gun",471.65,6.14085926385014
"236",11,5,"White","tool",442.894736842105,6.08621707444947
"237",11,6,"Black","gun",463.888888888889,6.10607861882816
"238",11,6,"Black","tool",481.157894736842,6.17074935799472
"239",11,6,"White","gun",461.166666666667,6.10975490722429
"240",11,6,"White","tool",471.214285714286,6.14984175786374
"241",12,1,"Black","gun",440.473684210526,6.07731934651698
"242",12,1,"Black","tool",487.315789473684,6.17063648572492
"243",12,1,"White","gun",425.809523809524,6.04510656557307
"244",12,1,"White","tool",463.65,6.13461056522757
"245",12,2,"Black","gun",441.78947368421,6.08281763391976
"246",12,2,"Black","tool",459.65,6.12666339682607
"247",12,2,"White","gun",442.5,6.0883908623214
"248",12,2,"White","tool",500.9,6.18199767807321
"249",12,3,"Black","gun",429.105263157895,6.05693920318521
"250",12,3,"Black","tool",495.105263157895,6.20097943517092
"251",12,3,"White","gun",456.05,6.11406370513498
"252",12,3,"White","tool",479.578947368421,6.16667002114915
"253",12,4,"Black","gun",458.85,6.11787584913576
"254",12,4,"Black","tool",522.85,6.25095761817553
"255",12,4,"White","gun",478.888888888889,6.14973794869871
"256",12,4,"White","tool",537.75,6.2714360721144
"257",12,5,"Black","gun",458.9,6.11903639167053
"258",12,5,"Black","tool",476.65,6.16443602382195
"259",12,5,"White","gun",463.15,6.13376412634899
